time,step_1,step_2,step_3,step_4,step_5,
0.00732014,6,2,5,4,3,2,
0.00734014,6,2,5,4,3,2,
0.00736014,6,2,5,4,3,2,
0.00738014,6,2,5,4,3,2,
0.00740014,6,2,5,4,3,2,
0.00742014,6,2,5,4,3,2,
0.00744014,6,2,5,4,3,2,
0.00746014,6,2,5,4,3,2,
0.00748014,1,2,5,4,3,2,
0.00750014,1,2,5,4,3,2,
0.00752014,1,2,5,4,3,2,
0.00754014,1,2,5,4,3,2,
0.00756014,1,2,5,4,3,2,
0.00758014,1,2,5,4,3,2,
0.00760014,1,2,5,4,3,2,
0.00762014,1,2,5,4,3,2,
0.00764014,1,2,5,4,3,2,
0.00766014,1,2,5,4,3,2,
0.00768014,1,2,5,4,3,2,
0.00770014,1,2,5,4,3,4,
0.00772014,1,2,5,4,6,4,
0.00774014,1,2,5,4,6,4,
0.00776014,1,2,5,4,5,4,
0.00776014,1,2,5,4,5,4,
0.00778014,1,2,5,4,5,4,
0.00780014,1,2,5,4,5,4,
0.00782014,1,2,5,4,5,4,
0.00784014,1,2,5,4,5,4,
0.00786014,1,2,5,4,5,4,
0.00788014,1,2,5,4,5,4,
0.00790014,1,2,5,4,3,4,
0.00792014,1,2,5,4,3,4,
0.00794014,1,2,5,4,3,4,
0.00796014,1,2,5,4,3,4,
0.00798014,1,2,5,4,3,4,
0.00800014,1,2,5,4,3,4,
0.00802014,1,3,5,4,3,4,
0.00804014,1,3,5,4,4,4,
0.00804014,1,3,5,4,4,4,
0.00806014,1,3,5,4,4,4,
0.00808014,1,3,5,4,4,4,
0.00810014,1,3,5,4,4,4,
0.00812014,1,3,5,4,4,6,
0.00814014,1,3,5,4,4,6,
0.00816014,1,3,5,4,4,6,
0.00818014,1,3,5,4,4,6,
0.00820014,1,3,5,4,4,6,
0.00822014,1,3,5,4,4,6,
0.00824014,1,3,5,4,4,6,
0.00826014,1,3,5,4,4,6,
0.00828014,1,3,5,4,4,6,
0.00830014,1,3,5,4,4,6,
0.00832014,1,3,2,4,4,6,
0.00834014,1,3,2,4,4,6,
0.00836014,1,3,2,4,4,6,
0.00838014,1,3,2,4,4,6,
0.00840014,1,3,2,4,4,6,
0.00842014,1,3,2,4,4,6,
0.00844014,1,3,2,4,4,6,
0.00846014,1,3,2,4,4,6,
0.00848014,1,3,2,4,4,6,
0.00850014,1,3,2,4,4,6,
0.00852014,1,3,2,4,4,6,
0.00854014,1,5,2,4,4,6,
0.00856014,1,5,2,4,4,6,
0.00858014,6,5,2,4,4,6,
0.00860014,6,5,2,4,4,6,
0.00861014,6,5,6,4,4,2,
0.00862014,6,5,6,4,4,2,
0.00864014,6,5,6,4,4,2,
0.00866014,6,5,6,4,4,2,
0.00868014,6,5,6,4,4,2,
0.00870014,6,5,6,3,4,2,
0.00872014,6,2,6,3,4,2,
0.00872028,6,2,6,3,4,2,
0.00874014,6,2,6,3,4,2,
0.00876014,6,2,6,3,4,2,
0.00878014,6,2,6,3,4,2,
0.00880014,6,2,6,3,4,2,
0.00882014,6,2,6,3,4,2,
0.00884014,6,2,6,3,4,2,
0.00886014,6,2,6,3,4,2,
0.00888014,6,2,6,3,4,2,
0.00890014,6,2,6,3,4,2,
0.00892014,6,2,6,3,4,2,
0.00894014,6,2,6,3,4,2,
0.00896014,6,2,6,3,4,2,
0.00898014,6,2,6,3,4,2,
0.00900014,6,2,6,3,4,2,
0.00902014,6,2,6,3,4,5,
0.00902028,6,2,6,3,4,5,
0.00904014,6,2,6,3,4,5,
0.00905014,1,2,6,3,4,5,
0.00906014,1,2,6,3,4,5,
0.00908014,1,2,6,3,4,5,
0.00910014,1,2,6,3,4,5,
0.00912014,1,2,6,3,4,5,
0.00914014,1,2,6,3,4,5,
0.00916014,1,2,6,3,4,5,
0.00918014,1,5,6,3,4,5,
0.00918014,1,5,6,3,4,5,
0.00920014,1,5,6,3,4,5,
0.00922014,1,5,6,3,4,5,
0.00924014,1,5,6,3,4,5,
0.00926014,1,5,6,3,4,5,
0.00928014,1,5,6,3,5,5,
0.00930014,1,5,6,3,5,5,
0.00932014,1,5,6,3,5,5,
0.00934014,1,5,2,3,5,5,
0.00936014,1,5,2,3,5,5,
0.00938014,1,5,2,3,5,2,
0.00938014,1,5,2,3,5,2,
0.00940014,1,5,2,3,5,2,
0.00942014,1,5,2,3,5,2,
0.00944014,1,5,2,3,5,2,
0.00946014,1,5,2,3,5,2,
0.00948014,1,5,2,3,5,2,
0.00950014,1,5,2,3,5,2,
0.00952014,1,5,2,3,5,2,
0.00954014,1,5,2,3,5,2,
0.00955014,1,4,2,3,5,2,
0.00956014,1,4,2,3,5,2,
0.00958014,1,4,2,3,5,2,
0.00960014,1,4,2,3,5,2,
0.00962014,1,4,2,3,5,2,
0.00964014,1,4,2,3,5,2,
0.00966014,1,4,2,3,5,2,
0.00967014,1,4,2,2,5,2,
0.00968014,1,4,2,2,5,2,
0.00969014,1,6,2,2,5,2,
0.00970014,1,6,2,2,5,2,
0.00972014,1,6,2,2,5,2,
0.00974014,1,6,2,2,5,2,
0.00975014,1,6,2,2,6,2,
0.00976014,1,6,2,2,6,2,
0.00978014,1,6,2,2,6,2,
0.00980014,1,6,2,2,6,2,
0.00982014,1,6,2,2,6,2,
0.00984014,1,6,2,2,6,2,
0.00986014,1,6,2,2,6,2,
0.00988014,1,6,2,2,6,2,
0.00990014,1,6,2,2,6,2,
0.00992014,1,5,2,2,6,2,
0.00994014,1,5,2,2,6,2,
0.00996014,1,5,2,2,6,2,
0.00998014,1,5,2,2,6,2,
